Country,Amount (USD),Transaction Type,Date of Transaction,Person Involved,Industry,Destination Country,Reported by Authority,Source of Money,Money Laundering Risk Score,Shell Companies Involved,Financial Institution,Tax Haven Country,Shell_Cat
Singapore,4026355.0,Offshore Transfer,2023-04-05 12:00:00,Person_6867,Real Estate,UAE,True,Legal,2,4,Bank_8,Bahamas,3 or more
Brazil,2100690.0,Offshore Transfer,2023-04-05 13:00:00,Person_4142,Real Estate,Russia,False,Illegal,8,9,Bank_179,Singapore,3 or more
Brazil,506353.0,Property Purchase,2023-04-05 14:00:00,Person_588,Luxury Goods,Russia,False,Illegal,2,5,Bank_389,Switzerland,3 or more
UAE,643569.0,Property Purchase,2023-04-05 15:00:00,Person_9916,Oil & Gas,China,False,Illegal,6,1,Bank_381,Singapore,Less than 3
UAE,3333473.0,Property Purchase,2023-04-05 16:00:00,Person_5911,Finance,India,False,Illegal,8,4,Bank_158,Singapore,3 or more
Switzerland,1895998.0,Offshore Transfer,2023-04-05 17:00:00,Person_2428,Finance,India,False,Illegal,9,3,Bank_9,Panama,3 or more
Switzerland,248690.0,Property Purchase,2023-04-05 18:00:00,Person_1013,Arms Trade,Switzerland,False,Illegal,4,0,Bank_272,Panama,Less than 3
South Africa,1097291.0,Property Purchase,2023-04-05 19:00:00,Person_877,Real Estate,China,False,Illegal,1,6,Bank_268,Bahamas,3 or more
UK,1210446.0,Cryptocurrency,2023-04-05 20:00:00,Person_2332,Oil & Gas,Brazil,False,Legal,3,8,Bank_441,Singapore,3 or more
South Africa,3237247.0,Offshore Transfer,2023-04-05 21:00:00,Person_201,Luxury Goods,Switzerland,False,Legal,5,7,Bank_125,Luxembourg,3 or more
USA,2804655.0,Offshore Transfer,2023-04-05 22:00:00,Person_8847,Luxury Goods,UK,True,Illegal,10,1,Bank_261,Cayman Islands,Less than 3
Brazil,414266.0,Offshore Transfer,2023-04-05 23:00:00,Person_8154,Casinos,Brazil,True,Illegal,10,5,Bank_190,Switzerland,3 or more
China,484311.0,Cryptocurrency,2023-04-06 00:00:00,Person_8833,Casinos,Brazil,True,Illegal,8,2,Bank_362,Panama,Less than 3
South Africa,2876749.0,Stocks Transfer,2023-04-06 01:00:00,Person_4900,Oil & Gas,India,False,Illegal,8,0,Bank_88,Luxembourg,Less than 3
China,1499542.0,Stocks Transfer,2023-04-06 02:00:00,Person_8885,Luxury Goods,Russia,False,Illegal,6,8,Bank_83,Cayman Islands,3 or more
Russia,3221025.0,Property Purchase,2023-04-06 03:00:00,Person_3098,Real Estate,China,True,Illegal,5,6,Bank_90,Luxembourg,3 or more
UAE,861492.0,Cryptocurrency,2023-04-06 04:00:00,Person_8677,Arms Trade,UK,False,Legal,4,4,Bank_293,Panama,3 or more
Russia,2617836.0,Property Purchase,2023-04-06 05:00:00,Person_3192,Casinos,Singapore,False,Illegal,7,0,Bank_321,Singapore,Less than 3
UAE,162206.0,Property Purchase,2023-04-06 06:00:00,Person_3915,Arms Trade,USA,True,Legal,2,9,Bank_468,Bahamas,3 or more
Singapore,4245952.0,Cash Withdrawal,2023-04-06 07:00:00,Person_9822,Oil & Gas,China,False,Illegal,1,4,Bank_57,Panama,3 or more
Singapore,4682130.0,Cryptocurrency,2023-04-06 08:00:00,Person_3151,Construction,Brazil,False,Legal,9,3,Bank_118,Luxembourg,3 or more
Singapore,3142972.0,Property Purchase,2023-04-06 09:00:00,Person_4282,Arms Trade,Russia,False,Legal,4,3,Bank_346,Luxembourg,3 or more
India,158571.0,Cash Withdrawal,2023-04-06 10:00:00,Person_551,Construction,Switzerland,False,Legal,9,0,Bank_440,Singapore,Less than 3
USA,4376775.0,Cryptocurrency,2023-04-06 11:00:00,Person_4621,Casinos,Brazil,True,Illegal,9,2,Bank_458,Bahamas,Less than 3
UK,2830626.0,Cash Withdrawal,2023-04-06 12:00:00,Person_2595,Arms Trade,Singapore,False,Illegal,7,2,Bank_100,Singapore,Less than 3
USA,1612002.0,Property Purchase,2023-04-06 13:00:00,Person_5440,Arms Trade,Russia,False,Legal,2,7,Bank_471,Luxembourg,3 or more
South Africa,3191666.0,Cash Withdrawal,2023-04-06 14:00:00,Person_4199,Casinos,UAE,False,Illegal,4,5,Bank_489,Cayman Islands,3 or more
India,3665577.0,Offshore Transfer,2023-04-06 15:00:00,Person_5114,Real Estate,India,False,Illegal,3,2,Bank_255,Bahamas,Less than 3
South Africa,3727912.0,Cash Withdrawal,2023-04-06 16:00:00,Person_3600,Luxury Goods,USA,False,Illegal,2,4,Bank_175,Cayman Islands,3 or more
USA,2314602.0,Offshore Transfer,2023-04-06 17:00:00,Person_6847,Luxury Goods,China,False,Illegal,2,2,Bank_364,Bahamas,Less than 3
Singapore,4625307.0,Offshore Transfer,2023-04-06 18:00:00,Person_4072,Casinos,USA,False,Illegal,7,8,Bank_319,Switzerland,3 or more
Singapore,846823.0,Property Purchase,2023-04-06 19:00:00,Person_3037,Finance,China,False,Illegal,10,3,Bank_383,Bahamas,3 or more
UAE,2665622.0,Stocks Transfer,2023-04-06 20:00:00,Person_779,Luxury Goods,India,True,Legal,5,7,Bank_239,Panama,3 or more
China,2348624.0,Stocks Transfer,2023-04-06 21:00:00,Person_5042,Arms Trade,Russia,False,Legal,1,7,Bank_287,Bahamas,3 or more
Switzerland,1929922.0,Stocks Transfer,2023-04-06 22:00:00,Person_4507,Oil & Gas,South Africa,False,Illegal,7,0,Bank_99,Cayman Islands,Less than 3
India,3515865.0,Offshore Transfer,2023-04-06 23:00:00,Person_5949,Construction,Switzerland,False,Legal,3,0,Bank_16,Cayman Islands,Less than 3
Singapore,3159371.0,Cash Withdrawal,2023-04-07 00:00:00,Person_6522,Finance,UK,False,Illegal,2,2,Bank_53,Switzerland,Less than 3
Russia,1902338.0,Offshore Transfer,2023-04-07 01:00:00,Person_6377,Real Estate,UAE,False,Illegal,2,4,Bank_453,Panama,3 or more
China,39247.0,Cash Withdrawal,2023-04-07 02:00:00,Person_4618,Real Estate,Russia,False,Legal,1,9,Bank_289,Cayman Islands,3 or more
Brazil,1627082.0,Cash Withdrawal,2023-04-07 03:00:00,Person_5514,Arms Trade,Brazil,True,Legal,2,6,Bank_150,Bahamas,3 or more
UK,415979.0,Property Purchase,2023-04-07 04:00:00,Person_8993,Luxury Goods,UK,True,Illegal,5,0,Bank_22,Cayman Islands,Less than 3
China,2008636.0,Offshore Transfer,2023-04-07 05:00:00,Person_1878,Luxury Goods,China,False,Legal,3,3,Bank_266,Bahamas,3 or more
Singapore,3392699.0,Cash Withdrawal,2023-04-07 06:00:00,Person_5629,Luxury Goods,Brazil,False,Illegal,6,3,Bank_358,Switzerland,3 or more
India,842408.0,Stocks Transfer,2023-04-07 07:00:00,Person_2911,Finance,China,True,Legal,5,6,Bank_116,Switzerland,3 or more
UK,4545021.0,Property Purchase,2023-04-07 08:00:00,Person_9062,Casinos,Russia,False,Illegal,5,4,Bank_214,Bahamas,3 or more
USA,3642021.0,Cryptocurrency,2023-04-07 09:00:00,Person_4844,Oil & Gas,Brazil,False,Legal,4,7,Bank_348,Cayman Islands,3 or more
Singapore,548737.0,Cryptocurrency,2023-04-07 10:00:00,Person_4993,Construction,USA,False,Illegal,6,0,Bank_247,Bahamas,Less than 3
Switzerland,3389338.0,Cryptocurrency,2023-04-07 11:00:00,Person_221,Real Estate,Singapore,True,Illegal,10,4,Bank_352,Cayman Islands,3 or more
China,1548064.0,Cryptocurrency,2023-04-07 12:00:00,Person_999,Arms Trade,UK,False,Legal,8,6,Bank_352,Cayman Islands,3 or more
Switzerland,1570178.0,Property Purchase,2023-04-07 13:00:00,Person_5455,Luxury Goods,South Africa,False,Legal,3,9,Bank_282,Luxembourg,3 or more
UK,4638004.0,Cash Withdrawal,2023-04-07 14:00:00,Person_4275,Finance,Russia,False,Illegal,4,1,Bank_50,Switzerland,Less than 3
South Africa,3852056.0,Cash Withdrawal,2023-04-07 15:00:00,Person_1617,Real Estate,Brazil,False,Illegal,6,1,Bank_484,Panama,Less than 3
South Africa,4362057.0,Property Purchase,2023-04-07 16:00:00,Person_6790,Oil & Gas,South Africa,False,Illegal,5,4,Bank_388,Luxembourg,3 or more
Singapore,4671693.0,Cryptocurrency,2023-04-07 17:00:00,Person_7556,Finance,USA,False,Illegal,8,3,Bank_164,Panama,3 or more
Switzerland,4957968.0,Property Purchase,2023-04-07 18:00:00,Person_7123,Construction,USA,False,Illegal,2,3,Bank_285,Switzerland,3 or more
UAE,4400011.0,Offshore Transfer,2023-04-07 19:00:00,Person_3117,Luxury Goods,USA,True,Illegal,10,0,Bank_310,Panama,Less than 3
South Africa,3011755.0,Offshore Transfer,2023-04-07 20:00:00,Person_3950,Arms Trade,UK,False,Illegal,10,4,Bank_195,Switzerland,3 or more
Singapore,4936708.0,Property Purchase,2023-04-07 21:00:00,Person_2113,Construction,Singapore,False,Illegal,9,4,Bank_41,Luxembourg,3 or more
India,1819994.0,Stocks Transfer,2023-04-07 22:00:00,Person_7695,Oil & Gas,India,False,Legal,10,7,Bank_208,Cayman Islands,3 or more
Singapore,4929144.0,Cash Withdrawal,2023-04-07 23:00:00,Person_7218,Oil & Gas,South Africa,False,Illegal,9,6,Bank_86,Singapore,3 or more
South Africa,803588.0,Property Purchase,2023-04-08 00:00:00,Person_1142,Oil & Gas,UK,False,Illegal,7,6,Bank_312,Panama,3 or more
China,2248593.0,Property Purchase,2023-04-08 01:00:00,Person_5139,Construction,Switzerland,False,Legal,7,7,Bank_492,Singapore,3 or more
Singapore,2651965.0,Offshore Transfer,2023-04-08 02:00:00,Person_9967,Arms Trade,Brazil,False,Illegal,8,2,Bank_250,Bahamas,Less than 3
UAE,1884674.0,Property Purchase,2023-04-08 03:00:00,Person_4385,Casinos,UK,False,Illegal,3,2,Bank_46,Luxembourg,Less than 3
Russia,3471418.0,Property Purchase,2023-04-08 04:00:00,Person_9382,Casinos,Singapore,False,Illegal,9,3,Bank_276,Luxembourg,3 or more
Russia,2109732.0,Property Purchase,2023-04-08 05:00:00,Person_7187,Casinos,UK,False,Illegal,3,8,Bank_165,Cayman Islands,3 or more
South Africa,988465.0,Property Purchase,2023-04-08 06:00:00,Person_3044,Luxury Goods,Singapore,False,Illegal,4,6,Bank_130,Luxembourg,3 or more
India,4228357.0,Offshore Transfer,2023-04-08 07:00:00,Person_360,Arms Trade,Singapore,False,Illegal,9,5,Bank_335,Switzerland,3 or more
Russia,365952.0,Property Purchase,2023-04-08 08:00:00,Person_9821,Oil & Gas,South Africa,False,Illegal,9,7,Bank_473,Cayman Islands,3 or more
Singapore,3300161.0,Property Purchase,2023-04-08 09:00:00,Person_9292,Luxury Goods,Switzerland,True,Illegal,2,7,Bank_91,Singapore,3 or more
India,608505.0,Cryptocurrency,2023-04-08 10:00:00,Person_8393,Finance,USA,False,Illegal,5,0,Bank_377,Bahamas,Less than 3
India,1272708.0,Offshore Transfer,2023-04-08 11:00:00,Person_2139,Finance,Singapore,False,Illegal,9,2,Bank_41,Luxembourg,Less than 3
Brazil,3085768.0,Stocks Transfer,2023-04-08 12:00:00,Person_8958,Casinos,Switzerland,False,Illegal,9,3,Bank_81,Panama,3 or more
UAE,77248.0,Offshore Transfer,2023-04-08 13:00:00,Person_4356,Luxury Goods,Singapore,False,Illegal,5,0,Bank_8,Singapore,Less than 3
USA,2144503.0,Offshore Transfer,2023-04-08 14:00:00,Person_996,Arms Trade,UAE,False,Illegal,6,2,Bank_170,Luxembourg,Less than 3
Switzerland,2897025.0,Cash Withdrawal,2023-04-08 15:00:00,Person_2557,Real Estate,Russia,True,Legal,2,8,Bank_235,Bahamas,3 or more
Singapore,3847901.0,Stocks Transfer,2023-04-08 16:00:00,Person_428,Arms Trade,UK,False,Illegal,2,5,Bank_488,Panama,3 or more
USA,3187035.0,Cryptocurrency,2023-04-08 17:00:00,Person_7074,Finance,Singapore,False,Legal,4,7,Bank_242,Panama,3 or more
China,4540720.0,Cryptocurrency,2023-04-08 18:00:00,Person_8099,Arms Trade,USA,False,Legal,7,8,Bank_458,Luxembourg,3 or more
UK,1760220.0,Cryptocurrency,2023-04-08 19:00:00,Person_8526,Casinos,Brazil,True,Illegal,5,7,Bank_444,Cayman Islands,3 or more
India,1854050.0,Property Purchase,2023-04-08 20:00:00,Person_3216,Oil & Gas,India,False,Legal,1,0,Bank_493,Bahamas,Less than 3
China,617082.0,Stocks Transfer,2023-04-08 21:00:00,Person_153,Real Estate,Singapore,False,Illegal,1,0,Bank_262,Switzerland,Less than 3
South Africa,3329321.0,Stocks Transfer,2023-04-08 22:00:00,Person_9357,Real Estate,UAE,False,Illegal,10,7,Bank_154,Panama,3 or more
Brazil,4529866.0,Property Purchase,2023-04-08 23:00:00,Person_5555,Arms Trade,UAE,False,Illegal,7,9,Bank_7,Switzerland,3 or more
Singapore,2021030.0,Offshore Transfer,2023-04-09 00:00:00,Person_9078,Luxury Goods,Singapore,False,Illegal,3,5,Bank_92,Singapore,3 or more
UK,2928736.0,Property Purchase,2023-04-09 01:00:00,Person_888,Oil & Gas,Brazil,False,Legal,7,6,Bank_451,Luxembourg,3 or more
Brazil,2534304.0,Offshore Transfer,2023-04-09 02:00:00,Person_639,Oil & Gas,Singapore,False,Illegal,7,9,Bank_425,Singapore,3 or more
UAE,3062639.0,Offshore Transfer,2023-04-09 03:00:00,Person_6268,Construction,South Africa,False,Legal,8,3,Bank_414,Cayman Islands,3 or more
Singapore,1271706.0,Property Purchase,2023-04-09 04:00:00,Person_368,Finance,Switzerland,True,Illegal,7,6,Bank_247,Singapore,3 or more
Singapore,4940014.0,Cash Withdrawal,2023-04-09 05:00:00,Person_9811,Casinos,Switzerland,False,Legal,5,3,Bank_363,Panama,3 or more
India,2986651.0,Stocks Transfer,2023-04-09 06:00:00,Person_3445,Arms Trade,Russia,False,Illegal,4,0,Bank_497,Singapore,Less than 3
South Africa,405036.0,Cryptocurrency,2023-04-09 07:00:00,Person_3895,Casinos,USA,False,Illegal,4,3,Bank_74,Switzerland,3 or more
South Africa,741104.0,Cryptocurrency,2023-04-09 08:00:00,Person_5887,Luxury Goods,China,False,Illegal,7,4,Bank_86,Singapore,3 or more
China,2219104.0,Cash Withdrawal,2023-04-09 09:00:00,Person_5385,Luxury Goods,India,False,Legal,1,4,Bank_472,Switzerland,3 or more
Switzerland,323740.0,Property Purchase,2023-04-09 10:00:00,Person_6620,Finance,South Africa,False,Illegal,7,3,Bank_127,Switzerland,3 or more
South Africa,4700468.0,Property Purchase,2023-04-09 11:00:00,Person_1725,Finance,Russia,False,Legal,6,6,Bank_318,Cayman Islands,3 or more
Singapore,2656881.0,Stocks Transfer,2023-04-09 12:00:00,Person_9953,Casinos,Russia,True,Illegal,9,3,Bank_216,Cayman Islands,3 or more
UK,1928414.0,Cryptocurrency,2023-04-09 13:00:00,Person_7454,Arms Trade,South Africa,False,Illegal,10,0,Bank_112,Cayman Islands,Less than 3
UK,629079.0,Stocks Transfer,2023-04-09 14:00:00,Person_2474,Real Estate,Brazil,False,Illegal,7,2,Bank_64,Cayman Islands,Less than 3
South Africa,752873.0,Stocks Transfer,2023-04-09 15:00:00,Person_424,Real Estate,UK,False,Illegal,8,4,Bank_293,Cayman Islands,3 or more
Switzerland,1466213.0,Offshore Transfer,2023-04-09 16:00:00,Person_2998,Casinos,India,False,Illegal,8,9,Bank_64,Panama,3 or more
Brazil,767548.0,Offshore Transfer,2023-04-09 17:00:00,Person_9224,Construction,UK,False,Illegal,9,3,Bank_438,Panama,3 or more
China,1489739.0,Cash Withdrawal,2023-04-09 18:00:00,Person_5693,Oil & Gas,South Africa,False,Illegal,5,4,Bank_255,Bahamas,3 or more
USA,377621.0,Stocks Transfer,2023-04-09 19:00:00,Person_4103,Arms Trade,USA,False,Illegal,8,1,Bank_159,Luxembourg,Less than 3
USA,4673327.0,Cryptocurrency,2023-04-09 20:00:00,Person_933,Arms Trade,China,False,Illegal,5,5,Bank_198,Switzerland,3 or more
Singapore,1711609.0,Property Purchase,2023-04-09 21:00:00,Person_9027,Arms Trade,USA,False,Illegal,6,6,Bank_100,Luxembourg,3 or more
India,1863797.0,Stocks Transfer,2023-04-09 22:00:00,Person_709,Casinos,Russia,False,Legal,8,6,Bank_446,Singapore,3 or more
Singapore,3185221.0,Stocks Transfer,2023-04-09 23:00:00,Person_9883,Casinos,India,False,Legal,2,6,Bank_428,Bahamas,3 or more
Brazil,960021.0,Offshore Transfer,2023-04-10 00:00:00,Person_4915,Finance,Switzerland,True,Illegal,9,8,Bank_407,Panama,3 or more
China,1735057.0,Cryptocurrency,2023-04-10 01:00:00,Person_4859,Oil & Gas,UK,False,Illegal,8,6,Bank_359,Panama,3 or more
UAE,961829.0,Property Purchase,2023-04-10 02:00:00,Person_4244,Oil & Gas,Singapore,False,Illegal,7,9,Bank_307,Luxembourg,3 or more
Switzerland,3783285.0,Offshore Transfer,2023-04-10 03:00:00,Person_5411,Casinos,India,False,Illegal,1,8,Bank_163,Switzerland,3 or more
UK,2197368.0,Cash Withdrawal,2023-04-10 04:00:00,Person_3332,Casinos,Switzerland,False,Illegal,9,0,Bank_2,Cayman Islands,Less than 3
Russia,3733494.0,Offshore Transfer,2023-04-10 05:00:00,Person_8572,Finance,USA,False,Illegal,8,5,Bank_29,Switzerland,3 or more
India,4572227.0,Cash Withdrawal,2023-04-10 06:00:00,Person_7617,Finance,India,False,Illegal,2,5,Bank_97,Switzerland,3 or more
Russia,1496342.0,Stocks Transfer,2023-04-10 07:00:00,Person_7992,Luxury Goods,Singapore,True,Illegal,9,4,Bank_95,Luxembourg,3 or more
South Africa,2751056.0,Cash Withdrawal,2023-04-10 08:00:00,Person_8528,Luxury Goods,USA,True,Illegal,1,9,Bank_5,Bahamas,3 or more
Switzerland,1404711.0,Stocks Transfer,2023-04-10 09:00:00,Person_6384,Real Estate,UK,True,Illegal,3,4,Bank_484,Bahamas,3 or more
Switzerland,4645875.0,Cash Withdrawal,2023-04-10 10:00:00,Person_4481,Finance,Switzerland,True,Illegal,3,9,Bank_128,Luxembourg,3 or more
UK,4914143.0,Property Purchase,2023-04-10 11:00:00,Person_778,Construction,India,False,Illegal,8,4,Bank_424,Panama,3 or more
UAE,1174933.0,Stocks Transfer,2023-04-10 12:00:00,Person_228,Luxury Goods,Brazil,False,Illegal,7,8,Bank_493,Cayman Islands,3 or more
UAE,36123.0,Cryptocurrency,2023-04-10 13:00:00,Person_8731,Finance,China,False,Illegal,1,3,Bank_18,Panama,3 or more
UAE,3653864.0,Property Purchase,2023-04-10 14:00:00,Person_8498,Arms Trade,USA,False,Illegal,1,0,Bank_439,Bahamas,Less than 3
UAE,2693092.0,Stocks Transfer,2023-04-10 15:00:00,Person_4586,Real Estate,South Africa,False,Illegal,4,3,Bank_392,Luxembourg,3 or more
South Africa,1279330.0,Offshore Transfer,2023-04-10 16:00:00,Person_5264,Construction,UAE,False,Illegal,5,4,Bank_341,Cayman Islands,3 or more
UAE,2656745.0,Stocks Transfer,2023-04-10 17:00:00,Person_9872,Oil & Gas,Brazil,False,Illegal,4,5,Bank_164,Luxembourg,3 or more
UK,4709081.0,Cash Withdrawal,2023-04-10 18:00:00,Person_1853,Real Estate,USA,False,Legal,6,4,Bank_406,Panama,3 or more
USA,2164534.0,Offshore Transfer,2023-04-10 19:00:00,Person_2531,Real Estate,USA,False,Illegal,9,1,Bank_188,Bahamas,Less than 3
UK,1837427.0,Offshore Transfer,2023-04-10 20:00:00,Person_8924,Arms Trade,Switzerland,False,Illegal,1,2,Bank_286,Panama,Less than 3
Singapore,105867.0,Offshore Transfer,2023-04-10 21:00:00,Person_530,Casinos,UAE,False,Illegal,10,1,Bank_288,Cayman Islands,Less than 3
Russia,4121107.0,Offshore Transfer,2023-04-10 22:00:00,Person_9347,Construction,South Africa,False,Legal,2,6,Bank_214,Singapore,3 or more
USA,494545.0,Cryptocurrency,2023-04-10 23:00:00,Person_1288,Construction,UK,True,Illegal,6,0,Bank_54,Panama,Less than 3
Russia,4025861.0,Stocks Transfer,2023-04-11 00:00:00,Person_7231,Real Estate,USA,False,Illegal,5,0,Bank_208,Bahamas,Less than 3
Switzerland,4355670.0,Offshore Transfer,2023-04-11 01:00:00,Person_5516,Luxury Goods,South Africa,True,Illegal,2,0,Bank_64,Panama,Less than 3
Singapore,33349.0,Stocks Transfer,2023-04-11 02:00:00,Person_7858,Casinos,UAE,True,Legal,10,5,Bank_417,Singapore,3 or more
USA,1418614.0,Stocks Transfer,2023-04-11 03:00:00,Person_3166,Casinos,Russia,True,Illegal,5,8,Bank_498,Bahamas,3 or more
UAE,1500060.0,Cash Withdrawal,2023-04-11 04:00:00,Person_5289,Arms Trade,UAE,False,Illegal,5,7,Bank_330,Panama,3 or more
Russia,2287180.0,Cryptocurrency,2023-04-11 05:00:00,Person_5104,Casinos,China,True,Illegal,3,8,Bank_112,Switzerland,3 or more
China,2006449.0,Offshore Transfer,2023-04-11 06:00:00,Person_4599,Luxury Goods,China,True,Illegal,6,0,Bank_86,Switzerland,Less than 3
UK,390308.0,Cryptocurrency,2023-04-11 07:00:00,Person_3109,Finance,India,False,Legal,8,8,Bank_288,Panama,3 or more
UK,1723707.0,Stocks Transfer,2023-04-11 08:00:00,Person_7739,Construction,South Africa,False,Illegal,3,8,Bank_303,Cayman Islands,3 or more
Russia,1769652.0,Cash Withdrawal,2023-04-11 09:00:00,Person_2095,Oil & Gas,UK,False,Legal,4,0,Bank_480,Singapore,Less than 3
South Africa,1514465.0,Property Purchase,2023-04-11 10:00:00,Person_6290,Real Estate,China,False,Illegal,7,0,Bank_435,Switzerland,Less than 3
UK,1385522.0,Cryptocurrency,2023-04-11 11:00:00,Person_4027,Luxury Goods,India,False,Illegal,3,3,Bank_453,Singapore,3 or more
South Africa,2310162.0,Property Purchase,2023-04-11 12:00:00,Person_3128,Casinos,Switzerland,True,Illegal,4,7,Bank_343,Panama,3 or more
Russia,1981288.0,Offshore Transfer,2023-04-11 13:00:00,Person_5540,Oil & Gas,Russia,False,Illegal,7,0,Bank_462,Cayman Islands,Less than 3
Russia,1132615.0,Offshore Transfer,2023-04-11 14:00:00,Person_4496,Real Estate,Singapore,False,Legal,1,7,Bank_81,Cayman Islands,3 or more
Singapore,2964110.0,Cash Withdrawal,2023-04-11 15:00:00,Person_344,Construction,UK,False,Legal,5,0,Bank_357,Switzerland,Less than 3
Russia,1632086.0,Cash Withdrawal,2023-04-11 16:00:00,Person_6900,Construction,India,False,Legal,5,0,Bank_19,Bahamas,Less than 3
UK,38184.0,Property Purchase,2023-04-11 17:00:00,Person_8622,Luxury Goods,Russia,False,Illegal,8,0,Bank_172,Bahamas,Less than 3
India,538148.0,Property Purchase,2023-04-11 18:00:00,Person_1557,Finance,India,True,Illegal,8,0,Bank_334,Bahamas,Less than 3
UAE,4100909.0,Cash Withdrawal,2023-04-11 19:00:00,Person_6544,Casinos,USA,True,Illegal,5,0,Bank_370,Luxembourg,Less than 3
UAE,1748009.0,Cash Withdrawal,2023-04-11 20:00:00,Person_1532,Real Estate,UAE,False,Legal,3,9,Bank_323,Singapore,3 or more
Brazil,1433397.0,Stocks Transfer,2023-04-11 21:00:00,Person_1965,Arms Trade,Singapore,False,Illegal,1,8,Bank_270,Cayman Islands,3 or more
UAE,1349286.0,Cryptocurrency,2023-04-11 22:00:00,Person_4408,Luxury Goods,Brazil,False,Illegal,6,5,Bank_60,Singapore,3 or more
Switzerland,993854.0,Cryptocurrency,2023-04-11 23:00:00,Person_9243,Real Estate,UAE,True,Illegal,9,4,Bank_142,Luxembourg,3 or more
Singapore,2965613.0,Cash Withdrawal,2023-04-12 00:00:00,Person_3523,Arms Trade,UK,True,Illegal,2,7,Bank_417,Bahamas,3 or more
South Africa,2728257.0,Stocks Transfer,2023-04-12 01:00:00,Person_9662,Arms Trade,UAE,False,Illegal,2,1,Bank_327,Luxembourg,Less than 3
India,4685813.0,Offshore Transfer,2023-04-12 02:00:00,Person_1190,Real Estate,USA,False,Illegal,5,1,Bank_357,Panama,Less than 3
Russia,3277324.0,Offshore Transfer,2023-04-12 03:00:00,Person_807,Finance,Russia,True,Legal,4,6,Bank_338,Panama,3 or more
UK,4536870.0,Cash Withdrawal,2023-04-12 04:00:00,Person_7173,Oil & Gas,UAE,False,Illegal,5,4,Bank_434,Singapore,3 or more
Singapore,4509510.0,Cryptocurrency,2023-04-12 05:00:00,Person_5967,Construction,USA,False,Legal,9,8,Bank_93,Switzerland,3 or more
China,1848223.0,Cash Withdrawal,2023-04-12 06:00:00,Person_4880,Luxury Goods,Brazil,False,Illegal,4,7,Bank_106,Luxembourg,3 or more
China,4712542.0,Offshore Transfer,2023-04-12 07:00:00,Person_5182,Arms Trade,Russia,False,Illegal,4,2,Bank_39,Panama,Less than 3
UAE,2976595.0,Stocks Transfer,2023-04-12 08:00:00,Person_7575,Finance,Russia,True,Legal,1,4,Bank_279,Cayman Islands,3 or more
China,480094.0,Cryptocurrency,2023-04-12 09:00:00,Person_5013,Arms Trade,India,False,Legal,8,1,Bank_62,Switzerland,Less than 3
South Africa,4649527.0,Cash Withdrawal,2023-04-12 10:00:00,Person_3180,Construction,Brazil,False,Illegal,8,1,Bank_286,Singapore,Less than 3
Singapore,3181305.0,Stocks Transfer,2023-04-12 11:00:00,Person_3591,Finance,Switzerland,True,Illegal,9,6,Bank_241,Luxembourg,3 or more
Brazil,2114190.0,Stocks Transfer,2023-04-12 12:00:00,Person_3076,Oil & Gas,Switzerland,False,Illegal,2,1,Bank_213,Panama,Less than 3
Russia,2968751.0,Cash Withdrawal,2023-04-12 13:00:00,Person_1917,Arms Trade,South Africa,False,Legal,10,4,Bank_477,Cayman Islands,3 or more
South Africa,961876.0,Cash Withdrawal,2023-04-12 14:00:00,Person_6406,Casinos,China,False,Illegal,6,4,Bank_485,Cayman Islands,3 or more
Switzerland,4145296.0,Stocks Transfer,2023-04-12 15:00:00,Person_9307,Luxury Goods,USA,False,Illegal,8,6,Bank_98,Cayman Islands,3 or more
Switzerland,1043227.0,Property Purchase,2023-04-12 16:00:00,Person_545,Casinos,Russia,False,Illegal,4,9,Bank_220,Cayman Islands,3 or more
Brazil,3937406.0,Cash Withdrawal,2023-04-12 17:00:00,Person_6427,Arms Trade,China,False,Illegal,7,5,Bank_206,Switzerland,3 or more
Switzerland,3920757.0,Stocks Transfer,2023-04-12 18:00:00,Person_5624,Luxury Goods,UAE,True,Illegal,10,5,Bank_123,Luxembourg,3 or more
Singapore,756007.0,Offshore Transfer,2023-04-12 19:00:00,Person_9539,Real Estate,USA,False,Illegal,10,8,Bank_423,Luxembourg,3 or more
USA,4170235.0,Cryptocurrency,2023-04-12 20:00:00,Person_7515,Construction,Switzerland,False,Legal,7,8,Bank_474,Panama,3 or more
South Africa,2660050.0,Property Purchase,2023-04-12 21:00:00,Person_3523,Casinos,South Africa,True,Illegal,6,8,Bank_200,Bahamas,3 or more
India,2776439.0,Property Purchase,2023-04-12 22:00:00,Person_9105,Finance,UK,False,Illegal,4,8,Bank_400,Luxembourg,3 or more
Switzerland,4996475.0,Cryptocurrency,2023-04-12 23:00:00,Person_5608,Casinos,USA,False,Illegal,2,8,Bank_44,Switzerland,3 or more
Russia,102972.0,Stocks Transfer,2023-04-13 00:00:00,Person_4886,Luxury Goods,China,False,Illegal,1,0,Bank_288,Switzerland,Less than 3
China,407902.0,Cryptocurrency,2023-04-13 01:00:00,Person_2082,Casinos,India,False,Illegal,3,7,Bank_402,Switzerland,3 or more
Switzerland,1066195.0,Cryptocurrency,2023-04-13 02:00:00,Person_8481,Luxury Goods,Brazil,False,Illegal,1,7,Bank_169,Panama,3 or more
South Africa,4933517.0,Property Purchase,2023-04-13 03:00:00,Person_3053,Casinos,China,False,Illegal,2,1,Bank_396,Cayman Islands,Less than 3
